slot_id,purpose,start_hour,day_of_week,duration_seconds
S17,work,9,2,20700
S01,eating,23,1,2580
S02,eating,14,4,3240
S17,eating,19,1,2640
S14,cinema,19,1,9780
S13,other,8,6,1380
S06,other,19,0,840
S14,work,9,1,12600
S18,shopping,14,1,6480
S12,shopping,17,0,6240
S06,eating,8,3,4920
S12,work,21,1,16200
S15,work,13,5,17880
S19,shopping,13,1,5880
S19,shopping,16,6,6660
S13,work,22,5,17520
S06,cinema,23,1,6240
S18,shopping,13,4,9120
S12,cinema,16,1,8760
S12,cinema,21,3,13140
S18,other,22,0,660
S13,cinema,22,1,9000
S03,other,12,2,900
S02,eating,16,3,5040
S13,cinema,17,5,6900
S16,cinema,9,3,9660
S09,eating,22,0,3840
S19,other,17,2,1440
S20,other,16,3,1020
S15,cinema,22,3,8700
S18,other,8,5,2040
S02,cinema,9,6,2820
S20,shopping,13,1,4200
S03,cinema,15,4,11880
S01,other,17,6,780
S18,cinema,16,2,8880
S03,eating,12,5,2040
S09,work,9,4,18900
S17,work,23,1,14520
S01,eating,17,0,1740
S12,cinema,13,4,5820
S16,work,12,4,13200
S06,work,22,6,31800
S03,eating,17,3,5280
S09,eating,16,4,4260
S13,shopping,19,2,5700
S01,eating,7,0,3120
S05,other,13,2,1860
S12,eating,21,1,3900
S16,work,9,2,14520
S19,shopping,14,1,3840
S02,eating,12,4,4020
S17,cinema,8,4,8880
S01,other,20,1,1320
S02,work,7,2,23460
S13,cinema,11,0,17100
S07,shopping,7,2,2880
S10,cinema,7,3,13080
S14,work,21,2,13800
S09,work,17,1,18360
S18,shopping,21,2,6660
S07,other,10,5,2040
S01,cinema,19,6,14880
S11,cinema,18,1,12000
S15,work,11,6,6720
S06,eating,22,2,2160
S20,eating,13,2,4980
S05,cinema,8,6,18480
S19,other,8,5,2400
S13,cinema,23,5,13020
S12,work,12,1,10080
S17,cinema,20,2,12060
S12,eating,15,1,5400
S19,eating,20,2,4680
S14,eating,15,4,720
S17,work,10,0,3780
S07,shopping,11,6,6720
S02,eating,12,6,1200
S20,cinema,9,0,12600
S11,eating,22,3,3720
S01,eating,9,5,420
S18,eating,16,3,4200
S07,other,23,1,1740
S04,other,13,6,2640
S01,work,22,4,15120
S19,work,16,1,24000
S20,eating,19,1,5040
S17,cinema,7,6,7440
S19,other,12,1,1980
S03,cinema,20,4,7740
S01,cinema,15,5,2940
S17,shopping,21,0,4740
S17,other,7,6,1980
S13,cinema,20,3,6900
S08,cinema,14,0,15000
S15,other,18,2,2880
S05,cinema,9,4,16440
S03,other,9,3,2160
S07,cinema,13,3,13920
S13,other,19,1,1320
S07,other,8,0,1200
S02,cinema,18,6,16080
S03,cinema,20,0,13560
S12,eating,13,3,1140
S11,eating,12,2,5460
S07,work,13,1,9180
S09,other,20,6,3120
S08,eating,9,3,4560
S20,eating,14,0,2580
S05,other,19,3,1920
S14,eating,15,0,4200
S04,shopping,23,6,5580
S03,cinema,10,0,8820
S14,work,7,5,12120
S09,shopping,22,2,2100
S18,work,7,0,10200
S05,cinema,13,5,7860
S09,other,15,6,1800
S09,shopping,7,6,4740
S10,cinema,8,6,9840
S11,other,19,2,1200
S20,other,15,6,900
S08,eating,23,3,660
S20,shopping,16,6,2460
S18,other,13,0,1740
S16,other,14,5,840
S12,shopping,8,0,4080
S13,cinema,8,2,11220
S17,eating,15,0,3600
S15,eating,13,4,3540
S09,other,23,0,1800
S11,cinema,12,6,9720
S05,work,15,4,13740
S13,eating,8,2,1800
S19,eating,13,0,4380
S19,other,17,5,1560
S19,work,21,3,10500
S08,eating,19,0,3060
S03,cinema,12,5,9960
S17,eating,15,5,5280
S14,other,18,2,2040
S15,cinema,7,3,14880
S03,work,21,1,13080
S10,work,22,5,13380
S05,other,21,3,2460
S17,work,20,5,7560
S01,work,12,2,15180
S15,shopping,11,1,7620
S05,shopping,12,2,3300
S19,shopping,21,4,3900
S11,shopping,14,4,7140
S18,eating,11,3,6540
S14,eating,13,4,3180
S01,cinema,16,3,7740
S19,other,12,0,1500
S08,eating,20,5,4140
S08,work,18,5,19440
S18,eating,10,6,4980
S12,shopping,15,2,7320
S18,shopping,22,2,4980
S03,other,10,4,1980
S20,eating,12,1,2640
S05,shopping,10,5,4140
S04,shopping,19,1,6660
S02,shopping,18,4,7680
S01,other,18,3,2040
S14,work,10,3,20580
S20,eating,15,3,2760
S06,other,11,4,2040
S05,shopping,20,4,3600
S08,work,13,0,18780
S11,shopping,23,6,6240
S05,other,14,2,1680
S11,shopping,21,2,5100
S06,eating,15,2,3360
S17,work,12,3,23880
S10,cinema,10,6,14280
S16,shopping,8,4,7500
S18,work,18,4,5100
S14,shopping,19,5,6120
S07,other,21,2,1920
S03,cinema,20,0,8040
S07,eating,14,0,2880
S03,eating,18,2,2880
S20,eating,17,6,1380
S11,work,11,2,10740
S03,other,8,1,1380
S04,shopping,10,1,6900
S01,work,19,2,10020
S17,shopping,14,1,7080
S13,cinema,19,1,13560
S08,eating,11,4,1080
S09,cinema,20,4,3060
S15,work,16,3,24300
S13,other,22,3,1800
S10,work,16,4,20040
S01,eating,8,2,4440
S19,shopping,16,6,4200
S04,cinema,21,3,4740
S08,eating,18,5,3000
S07,cinema,15,0,16200
S14,cinema,17,4,6240
S11,eating,7,3,5100
S14,eating,7,4,5280
S13,work,9,2,12720
S13,work,11,5,19860
S02,eating,21,5,4080
S18,shopping,20,6,1620
S15,shopping,22,3,4320
S14,cinema,21,0,25440
S14,shopping,8,5,2880
S07,shopping,9,4,2160
S11,work,14,1,8820
S19,eating,19,2,6300
S16,other,17,2,900
S11,eating,14,3,2160
S15,eating,16,0,3000
S03,eating,11,2,4500
S09,other,20,0,2640
S05,cinema,9,1,9960
S11,eating,19,0,4080
S09,cinema,21,2,3960
S19,other,21,1,960
S07,work,13,6,23220
S09,shopping,23,6,4020
S05,shopping,14,2,8100
S01,shopping,13,6,1380
S06,other,9,1,60
S07,cinema,20,5,11400
S11,eating,14,3,2700
S12,shopping,12,2,6000
S10,other,8,5,1620
S17,cinema,20,1,5880
S07,work,10,5,15060
S14,cinema,16,5,10380
S01,cinema,12,4,13740
S02,other,16,6,2580
S07,work,23,4,10620
S19,cinema,23,2,6360
S06,shopping,21,5,4020
S19,shopping,9,2,5040
S18,shopping,9,5,5580
S08,work,18,4,18420
S20,shopping,20,4,7920
S03,other,23,5,1800
S06,shopping,19,6,7320
S02,eating,20,5,3000
S20,work,8,6,25440
S05,shopping,22,2,2940
S17,eating,21,0,3780
S04,eating,23,6,2760
S06,shopping,9,1,6000
S18,other,16,3,1320
S13,shopping,10,3,3060
S01,cinema,20,4,10860
S02,work,21,5,9780
S19,cinema,17,3,6240
S11,eating,16,6,5100
S02,work,8,3,10740
S16,other,10,3,2460
S19,shopping,23,0,5760
S04,shopping,8,5,5880
S10,work,22,0,11580
S02,eating,9,0,4500
S18,work,17,1,11400
S19,other,8,3,1800
S17,work,23,3,18660
S08,other,13,4,1800
S06,eating,16,3,2940
S18,work,9,2,16020
S03,cinema,11,5,9660
S03,work,17,4,6420
S15,other,8,4,540
S07,shopping,9,0,9480
S08,eating,7,4,2640
S05,eating,9,1,60
S10,cinema,22,3,4080
S02,cinema,14,0,12000
S16,work,12,4,12480
S08,cinema,23,5,7380
S14,shopping,20,2,7800
S20,eating,23,3,5580
S14,cinema,13,6,3240
S08,other,12,1,720
S18,shopping,20,3,5640
S17,work,14,3,19020
S11,eating,23,1,2820
S05,cinema,8,2,12060
S04,cinema,15,6,8580
S11,eating,21,0,7140
S12,eating,21,2,6060
S15,shopping,13,5,6720
S10,cinema,14,1,11460
S20,shopping,19,4,4440
S16,shopping,9,2,9060
S01,other,20,2,780
S19,cinema,14,2,10800
S01,shopping,15,5,1200
S16,other,21,4,1800
S09,cinema,13,2,14760
S09,cinema,16,6,7080
S12,eating,13,6,4560
S08,other,18,4,900
S10,eating,21,5,3420
S04,shopping,19,2,4920
S19,cinema,20,0,6960
S02,eating,21,2,5040
S07,eating,13,2,1620
S13,eating,12,5,1560
S04,work,11,1,20760
S11,eating,9,1,3900
S11,cinema,21,0,11640
S08,eating,16,3,4200
S04,work,11,3,7500
S16,eating,14,0,3480
S11,shopping,12,6,5520
S19,eating,8,4,2700
S09,shopping,20,3,3180
S11,other,21,6,2100
S01,cinema,10,2,12720
S01,eating,12,6,4560
S12,shopping,17,5,4560
S07,other,19,2,3480
S13,cinema,12,3,14760
S16,shopping,19,5,5760
S12,work,11,4,30540
S12,cinema,14,6,10980
S01,cinema,13,4,9600
S05,work,13,0,12600
S17,cinema,21,4,15660
S18,shopping,21,5,3780
S04,eating,7,4,3540
S13,other,14,0,1380
S09,work,19,0,15420
S02,cinema,23,6,15480
S09,cinema,22,6,5700
S02,cinema,19,2,11100
S10,eating,16,1,5040
S13,work,22,0,21600
S05,cinema,10,5,8820
S07,other,9,3,1440
S19,shopping,12,3,6540
S03,eating,13,4,4740
S06,shopping,22,4,4980
S05,eating,8,6,4380
S16,work,15,0,10560
S06,work,20,6,15000
S01,eating,11,4,3720
S05,cinema,9,0,12300
S14,work,22,4,14160
S10,work,10,0,8400
S07,work,19,3,9240
S12,work,8,2,20460
S10,eating,7,5,3780
S01,eating,16,4,4740
S01,cinema,8,4,11460
S15,cinema,23,1,9420
S16,work,22,3,5040
S11,cinema,11,4,13320
S20,other,21,4,60
S03,eating,20,3,3060
S15,work,10,4,27780
S15,eating,12,3,5160
S13,work,15,6,10740
S12,cinema,23,4,8880
S15,other,15,4,1800
S04,cinema,11,6,13680
S20,shopping,23,6,8760
S20,cinema,17,6,16560
S10,work,7,3,13980
S16,eating,12,5,3780
S01,eating,15,5,4260
S20,cinema,10,6,12300
S05,other,16,2,1320
S16,other,7,6,2640
S04,eating,10,4,1680
S04,cinema,15,2,13920
S16,shopping,23,4,8760
S08,cinema,18,3,5760
S07,cinema,19,1,13860
S17,work,23,1,18960
S16,shopping,11,5,6300
S17,shopping,20,5,6600
S18,shopping,8,0,900
S13,eating,7,1,4920
S18,eating,8,2,4320
S13,eating,8,2,2400
S20,eating,20,6,4500
S15,shopping,21,6,5160
S15,eating,9,0,2520
S13,eating,22,5,3120
S12,other,10,2,2220
S12,cinema,8,6,16740
S04,other,16,2,1800
S13,cinema,17,6,12300
S12,work,20,1,13320
S05,other,8,5,1860
S11,eating,9,1,1500
S05,eating,12,6,3240
S20,work,11,6,17100
S18,eating,20,5,3540
S04,work,21,5,10440
S09,cinema,10,1,16080
S14,eating,17,0,3180
S04,work,14,0,15600
S12,cinema,22,6,10500
S07,cinema,10,1,9480
S04,eating,21,1,2040
S11,work,17,1,16380
S19,cinema,22,1,20700
S16,shopping,13,1,60
S13,shopping,8,5,5760
S04,eating,19,0,4740
S14,shopping,19,6,7320
S03,shopping,10,4,5700
S15,other,7,5,3180
S06,cinema,14,2,13440
S06,work,12,0,14640
S06,cinema,11,6,16860
S16,cinema,11,2,10080
S20,eating,13,0,3960
S09,shopping,21,1,6180
S17,work,21,5,15840
S03,cinema,21,5,12180
S14,work,16,4,10800
S16,eating,7,2,3300
S04,cinema,22,6,12480
S19,shopping,7,5,5400
S03,shopping,11,2,4500
S18,shopping,9,1,4920
S19,other,9,4,1560
S15,work,7,0,19200
S20,eating,19,1,3420
S02,eating,10,6,2220
S12,shopping,11,5,660
S09,other,15,3,1620
S18,cinema,12,2,19200
S17,cinema,23,3,10140
S05,work,10,6,10620
S16,other,16,1,1800
S13,cinema,9,0,11040
S18,work,22,0,24540
S07,cinema,15,3,8580
S11,work,20,3,15600
S17,work,20,4,11700
S05,eating,14,5,6000
S09,eating,16,6,2880
S12,eating,11,3,4140
S15,eating,16,5,3000
S06,eating,7,0,4080
S17,cinema,9,0,7380
S07,eating,19,6,4860
S17,other,22,0,1620
S11,other,21,1,1800
S16,shopping,7,2,4140
S01,eating,13,2,4260
S03,cinema,17,2,9960
S02,eating,17,4,4380
S18,shopping,10,3,4800
S10,shopping,19,5,4200
S05,cinema,21,1,10200
S06,shopping,21,4,7380
S12,shopping,8,1,8820
S04,other,15,4,2580
S11,eating,18,3,4740
S12,work,10,0,7440
S05,shopping,9,0,3360
S12,eating,20,3,6480
S08,work,11,0,12300
S12,work,12,2,27840
S15,eating,21,2,5100
S15,eating,11,3,4620
S04,shopping,16,2,4320
S12,eating,17,1,5040
S16,other,13,2,2220
S04,other,20,1,1740
S15,shopping,19,0,3180
S12,cinema,17,1,9480
S14,other,7,1,2220
S05,other,22,6,1620
S15,work,23,3,14040
S10,shopping,23,6,12000
S19,other,23,5,1620
S07,work,18,6,19560
S05,work,7,4,13980
S17,eating,14,5,3240
S12,eating,16,5,5340
S14,other,15,4,2040
S06,work,20,3,12300
S17,cinema,18,5,13620
S07,work,20,6,16980
S04,work,19,4,20040
S17,eating,11,6,5100
S08,work,7,1,10440
S13,shopping,22,1,4020
S04,eating,13,6,2700
S09,shopping,12,2,5820
S05,other,12,1,3180
S01,cinema,10,2,6840
S10,other,15,2,2280
S14,shopping,13,0,4980
S14,eating,8,1,1560
S09,shopping,19,5,4860
S12,cinema,13,4,10140
S07,other,9,6,1200
S13,work,23,3,10500
S05,eating,7,2,4080
S09,shopping,7,2,3780
S14,work,22,4,15240
S12,cinema,21,1,3300
S10,other,10,3,2340
S04,other,7,0,2340
S09,shopping,19,3,6540
S14,eating,14,2,6300
S04,shopping,8,3,6120
S06,other,17,2,1620
S08,other,9,4,1440
S09,eating,11,2,6120
S09,cinema,21,4,13320
S14,eating,20,0,180
S04,cinema,15,1,12240
S04,work,7,5,20640
S08,cinema,20,0,6660
S04,work,14,3,14880
S15,cinema,18,5,9060
S02,other,14,3,2400
S06,work,8,3,15000
S07,cinema,17,1,5400
S16,other,15,0,2460
S12,work,18,0,10140
S01,other,16,4,1980
S10,eating,18,6,4860
S12,shopping,13,1,6000
S09,eating,13,4,4080
S13,other,10,0,1980
S09,work,18,4,9900
S13,work,12,2,17100
S04,cinema,9,5,10500
S01,shopping,10,1,2940
S11,eating,18,5,3240
S18,other,20,5,420
S11,other,21,2,2220
S11,other,18,2,2100
S12,other,12,5,2100
S15,other,12,1,660
S07,eating,20,2,6180
S02,eating,19,1,2820
S03,cinema,11,1,8640
S04,shopping,10,5,3300
S07,other,13,2,780
S18,shopping,22,4,3480
S16,eating,10,4,5040
S12,other,10,0,2820
S11,cinema,23,2,4500
S01,eating,21,4,4560
S07,eating,20,5,2520
S15,shopping,22,1,1980
S14,eating,23,1,1260
S07,other,18,1,960
S17,eating,12,3,3660
S02,eating,19,0,3600
S20,cinema,22,2,17280
S15,shopping,9,3,3420
S04,cinema,17,1,9240
S09,eating,18,5,2340
S12,other,7,3,2520
S06,cinema,18,1,10980
S06,shopping,11,6,4560
S09,other,20,1,1140
S19,other,19,6,1740
S01,shopping,15,5,5700
S20,work,7,3,11880
S04,shopping,17,5,5640
S15,work,8,4,18600
S09,shopping,8,2,6360
S03,cinema,22,4,18720
S17,cinema,12,2,660
S15,eating,11,0,4020
S06,shopping,10,5,5160
S10,cinema,23,1,15240
S17,other,7,0,1680
S08,cinema,13,5,7080
S03,cinema,13,1,12360
S17,shopping,19,3,3480
S01,cinema,23,4,16860
S11,cinema,20,0,9180
S02,cinema,13,0,480
S17,shopping,13,4,5640
S14,other,12,6,2040
S07,work,23,2,6540
S04,work,12,4,20580
S16,work,10,2,18060
S01,shopping,20,6,3240
S10,shopping,11,5,4920
S17,work,7,1,16440
S04,cinema,17,4,2940
S09,eating,10,2,3360
S04,eating,9,1,2580
S18,work,9,5,9180
S04,other,23,0,960
S13,work,7,5,9600
S13,shopping,18,0,8220
S03,cinema,16,6,10860
S13,work,21,0,12240
S14,cinema,16,6,8700
S04,shopping,7,6,3000
S13,cinema,15,5,13620
S08,shopping,20,0,4500
S03,shopping,15,1,5040
S05,shopping,23,2,4320
S05,shopping,16,5,2820
S01,other,17,3,1560
S10,shopping,17,5,7920
S06,work,13,5,11700
S08,eating,22,1,3180
S08,work,18,2,15660
S05,eating,17,4,2520
S12,eating,8,0,2520
S17,shopping,19,4,6600
S13,other,19,1,900
S20,work,19,4,15000
S14,cinema,20,5,18180
S17,eating,16,4,2580
S03,shopping,11,2,6720
S15,shopping,12,1,480
S16,shopping,20,4,6120
S05,eating,11,2,3180
S17,eating,21,2,2820
S16,other,13,0,1860
S06,work,15,5,22800
S20,other,23,5,3120
S12,other,8,0,840
S16,other,16,4,2280
S01,other,14,5,1440
S10,other,17,5,2100
S19,work,23,0,2160
S15,eating,20,0,5220
S02,work,10,2,13680
S10,cinema,7,5,9600
S04,cinema,19,2,10800
S20,eating,13,6,2940
S11,other,21,4,1260
S14,work,19,4,23820
S14,other,14,1,1500
S09,work,14,3,8340
S19,cinema,12,0,5940
S18,shopping,11,6,3540
S15,shopping,10,0,480
S19,cinema,9,1,12180
S20,shopping,11,2,3900
S03,shopping,12,6,8040
S03,other,19,0,2100
S14,eating,12,4,4800
S15,work,19,2,19620
S19,shopping,16,0,1800
S04,work,11,2,19440
S15,cinema,14,2,240
S18,cinema,9,2,9600
S05,eating,23,2,5220
S01,cinema,10,5,11100
S02,other,14,1,1200
S06,eating,23,6,2640
S07,work,13,3,10680
S14,shopping,23,6,4500
S08,other,13,5,1680
S03,cinema,18,5,12720
S12,other,11,5,3060
S03,eating,19,3,4980
S17,work,8,0,6300
S09,other,7,6,2100
S08,shopping,20,1,4800
S08,eating,12,5,3420
S07,other,10,3,2160
S15,cinema,13,0,8640
S12,work,21,1,20400
S17,other,21,3,1560
S12,cinema,7,2,18600
S08,work,14,3,10500
S20,other,7,3,540
S14,cinema,23,4,6120
S16,cinema,10,4,8820
S03,other,8,3,2640
S18,other,18,5,1800
S01,shopping,18,6,8580
S02,cinema,15,6,12540
S10,work,17,0,6360
S19,other,13,5,1800
S10,shopping,20,3,1740
S05,cinema,17,3,10200
S17,other,13,6,2040
S07,cinema,9,0,8880
S04,eating,13,2,3000
S03,work,8,5,14160
S13,shopping,16,5,7260
S17,eating,22,6,4680
S18,cinema,17,0,12180
S10,work,12,4,17160
S15,cinema,22,0,17940
S02,shopping,15,0,3300
S15,shopping,8,5,3360
S02,eating,9,2,60
S14,shopping,19,5,7080
S05,other,16,3,1980
S01,cinema,19,0,7020
S09,work,15,4,21720
S11,eating,8,2,3780
S15,other,10,4,540
S04,eating,16,3,3840
S15,cinema,16,3,16680
S04,cinema,21,5,17160
S04,other,12,4,2040
S16,eating,11,1,1200
S03,work,7,3,13620
S11,work,23,3,4860
S09,shopping,21,3,6660
S05,shopping,19,0,5760
S13,shopping,11,5,5460
S06,eating,17,4,4560
S15,cinema,20,0,7980
S03,shopping,23,2,3360
S01,other,23,1,1500
S04,eating,11,4,2160
S16,other,23,3,2760
S18,other,13,6,420
S07,cinema,20,2,6360
S01,eating,22,5,2880
S20,shopping,23,2,5100
S14,shopping,19,3,6420
S10,cinema,15,5,7560
S03,cinema,17,4,7560
S01,work,17,5,11400
S18,shopping,11,0,3540
S06,cinema,19,5,8400
S06,cinema,18,1,15060
S03,other,18,1,2040
S01,eating,16,2,3720
S02,work,7,4,10560
S12,cinema,21,2,17400
S16,other,20,2,1920
S07,work,21,5,15960
S13,other,10,1,1740
S05,shopping,21,0,3780
S11,shopping,19,5,7140
S18,cinema,10,4,7800
S10,shopping,22,1,4620
S18,shopping,13,5,4140
S20,eating,9,2,3540
S14,work,20,2,18840
S16,other,22,0,1920
S19,shopping,15,3,5880
S03,eating,12,0,2520
S08,shopping,15,3,5040
S06,work,17,4,14400
S06,other,13,3,1320
S06,work,19,4,6780
S12,eating,21,0,4440
S07,shopping,22,6,10860
S14,shopping,13,3,4560
S16,shopping,23,5,5220
S14,work,15,0,4200
S12,cinema,12,5,11640
S17,work,23,6,10020
S16,cinema,18,3,12840
S20,shopping,11,0,1920
S12,shopping,21,5,5280
S02,other,21,3,1380
S18,cinema,7,1,8280
S05,cinema,11,3,9360
S07,other,11,2,1620
S14,eating,20,1,3060
S16,shopping,20,6,6660
S20,work,9,4,23880
S16,other,8,1,1260
S13,other,18,5,2520
S19,shopping,18,1,4320
S11,cinema,11,0,9540
S20,other,12,5,2460
S18,eating,19,3,3720
S08,shopping,15,2,6660
S15,cinema,12,3,6540
S05,eating,17,3,3540
S17,cinema,23,4,11640
S15,shopping,8,4,7500
S06,work,23,4,17460
S15,eating,15,3,3240
S10,shopping,13,2,8880
S04,eating,17,2,4920
S01,other,23,0,1860
S11,eating,16,5,3300
S02,work,12,0,14160
S19,other,16,2,2220
S16,other,21,1,3540
S15,shopping,22,3,8580
S20,shopping,21,6,5460
S19,eating,22,5,3660
S05,work,18,0,10020
S20,work,9,0,60
S15,other,13,3,1500
S13,shopping,11,4,2940
S13,eating,8,4,3840
S14,eating,8,2,2160
S17,eating,10,3,2940
S13,cinema,8,5,6780
S09,other,12,2,2220
S04,other,10,6,2760
S02,shopping,19,1,6360
S02,work,9,3,25860
S14,cinema,19,5,15360
S19,work,12,3,6480
S02,work,10,2,16620
S15,other,17,3,2400
S10,cinema,11,3,6480
S03,eating,23,4,3300
S16,shopping,20,3,6720
S14,work,12,1,31080
S06,other,7,5,1500
S15,eating,23,5,4860
S09,eating,17,4,2820
S03,other,8,5,1140
S07,eating,19,1,4200
S09,work,11,6,5760
S14,eating,18,5,1260
S20,work,17,5,11040
S13,work,16,4,15900
S07,other,18,1,2160
S13,work,13,4,19260
S13,work,15,0,12840
S04,shopping,14,0,5940
S18,work,11,5,10560
S04,eating,17,0,3600
S17,shopping,23,5,10080
S18,shopping,8,6,4260
S15,cinema,18,0,6000
S18,eating,10,2,2820
S09,cinema,23,2,12240
S17,work,15,3,16560
S05,cinema,20,4,10500
S17,cinema,18,4,5700
S04,cinema,22,0,13200
S12,work,18,6,9480
S05,work,10,5,9960
S18,cinema,18,4,9540
S20,other,12,5,1260
S20,eating,7,6,6420
S19,other,23,1,1440
S19,shopping,20,5,2400
S20,other,12,5,1560
S17,other,22,0,1440
S19,work,11,3,19920
S01,eating,22,0,2520
S03,shopping,15,5,420
S04,work,23,6,19080
S09,other,18,0,720
S18,work,13,1,13200
S17,other,19,4,2160
S09,shopping,19,6,4680
S11,cinema,7,1,12780
S06,shopping,10,1,5760
S17,eating,16,0,1080
S13,other,20,5,1260
S03,eating,21,4,3900
S17,eating,7,0,3180
S19,eating,19,4,4380
S11,shopping,20,6,5880
S12,eating,18,2,3000
S04,other,9,2,2100
S11,eating,12,4,3360
S01,eating,14,6,4860
S09,eating,23,5,2460
S10,cinema,18,6,5040
S09,work,18,1,14880
S11,shopping,18,4,2940
S07,other,14,2,2280
S19,work,11,4,8820
S07,cinema,7,3,13380
S05,other,12,6,1500
S18,other,9,6,2280
S20,eating,7,0,5400
S13,work,15,3,21000
S15,other,11,4,2040
S14,eating,9,0,6600
S01,cinema,20,2,15300
S16,eating,21,4,5280
S20,work,18,2,8760
S18,cinema,15,0,6720
S16,work,12,1,60
S12,eating,12,0,2760
S03,eating,21,3,3900
S18,eating,12,2,6480
S06,eating,11,5,1860
S13,cinema,19,6,9900
S10,other,11,6,1260
S04,other,15,5,2400
S14,cinema,8,0,10560
S03,work,20,2,60
S07,other,15,2,2100
S20,other,22,1,1260
S14,eating,8,1,4320
S02,shopping,9,3,4260
S18,shopping,14,5,9180
S07,other,19,1,2040
S01,work,16,3,13980
S01,other,12,5,900
S03,shopping,20,6,4920
S09,eating,8,3,3060
S10,other,11,0,2400
S15,work,16,0,18540
S06,work,10,6,20700
S08,other,8,0,2640
S04,other,21,3,1200
S14,eating,15,0,3420
S18,cinema,21,2,10320
S09,shopping,7,3,5820
S15,cinema,21,2,12780
S06,other,13,2,1920
S13,other,7,4,2460
S17,shopping,19,2,8040
S10,other,10,0,420
S09,other,18,5,60
S15,shopping,22,2,4740
